law_content,generated_question,rag_answer_llm,generated_answer,document
"Việc chia tài sản chung trong thời kỳ hôn nhân bị vô hiệu khi thuộc một trong các trường hợp sau đây: 1. Ảnh hưởng nghiêm trọng đến lợi ích của gia đình; quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình; 2. Nhằm trốn tránh thực hiện các nghĩa vụ sau đây: a) Nghĩa vụ nuôi dưỡng, cấp dưỡng; b) Nghĩa vụ bồi thường thiệt hại; c) Nghĩa vụ thanh toán khi bị Tòa án tuyên bố phá sản; d) Nghĩa vụ trả nợ cho cá nhân, tổ chức; đ) Nghĩa vụ nộp thuế hoặc nghĩa vụ tài chính khác đối với Nhà nước; e) Nghĩa vụ khác về tài sản theo quy định của Luật này, Bộ luật dân sự và quy định khác của pháp luật có liên quan. ",Trong trường hợp nào việc chia tài sản chung trong thời kỳ hôn nhân bị coi là vô hiệu?,"Có, việc phân chia tài sản chung trong hôn nhân không hợp lệ khi một trong những trường hợp sau: 1. Ảnh hưởng nghiêm trọng đến lợi ích của gia đình;các quyền và lợi ích hợp pháp của đứa trẻ;Đứa trẻ đã quy định khả năng của các hành vi dân sự hoặc vô tận và không có tài sản nào tăng lên;2. Để trốn tránh các nghĩa vụ sau: a) nghĩa vụ giáo dục;hỗ trợ;b) nghĩa vụ bồi thường thiệt hại;c) nghĩa vụ phải trả khi tòa án tuyên bố phá sản;d) nghĩa vụ trả nợ với các cá nhân;các tổ chức;DD) Các nghĩa vụ khác trong mọi trường hợp, đối với Nhà nước, của Bộ luật Dân sự và các quy định khác của luật liên quan.","Việc chia tài sản chung trong thời kỳ hôn nhân bị vô hiệu khi thuộc một trong các trường hợp sau: 1. Ảnh hưởng nghiêm trọng đến lợi ích của gia đình; quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình; 2. Nhằm trốn tránh thực hiện các nghĩa vụ như nuôi dưỡng, cấp dưỡng, bồi thường thiệt hại, thanh toán khi bị Tòa án tuyên bố phá sản, trả nợ cho cá nhân, tổ chức, nộp thuế hoặc nghĩa vụ tài chính khác đối với Nhà nước, và các nghĩa vụ khác về tài sản theo quy định của Luật Hôn Nhân Và Gia Đình, Bộ luật dân sự và quy định khác của pháp luật có liên quan.",b74bd375
"Người điều khiển phương tiện khi dừng xe, đỗ xe trên đường phố phải tuân theo quy định tại Điều 18 của Luật này và các quy định sau đây: 1. Phải cho xe dừng, đỗ sát theo lề đường, hè phố phía bên phải theo chiều đi của mình; bánh xe gần nhất không được cách xa lề đường, hè phố quá 0,25 mét và không gây cản trở, nguy hiểm cho giao thông. Trường hợp đường phố hẹp, phải dừng xe, đỗ xe ở vị trí cách xe ô tô đang đỗ bên kia đường tối thiểu 20 mét. 2. Không được dừng xe, đỗ xe trên đường xe điện, trên miệng cống thoát nước, miệng hầm của đường điện thoại, điện cao thế, chỗ dành riêng cho xe chữa cháy lấy nước. Không được để phương tiện giao thông ở lòng đường, hè phố trái quy định. ","Khi dừng xe, đỗ xe trên đường phố, tôi cần tuân thủ những quy định gì về vị trí đỗ xe?",Không có câu trả lời trong bối cảnh,"Khi dừng xe, đỗ xe trên đường phố, bạn phải cho xe dừng, đỗ sát theo lề đường, hè phố phía bên phải theo chiều đi của mình. Bánh xe gần nhất không được cách xa lề đường, hè phố quá 0,25 mét và không được gây cản trở, nguy hiểm cho giao thông. Trường hợp đường phố hẹp, bạn phải dừng xe, đỗ xe ở vị trí cách xe ô tô đang đỗ bên kia đường tối thiểu 20 mét.",0367a752
"1. Các thành viên gia đình có quyền, nghĩa vụ quan tâm, chăm sóc, giúp đỡ, tôn trọng nhau. Quyền, lợi ích hợp pháp về nhân thân và tài sản của các thành viên gia đình quy định tại Luật này, Bộ luật dân sự và các luật khác có liên quan được pháp luật bảo vệ. 2. Trong trường hợp sống chung thì các thành viên gia đình có nghĩa vụ tham gia công việc gia đình, lao động tạo thu nhập; đóng góp công sức, tiền hoặc tài sản khác để duy trì đời sống chung của gia đình phù hợp với khả năng thực tế của mình. 3. Nhà nước có chính sách tạo điều kiện để các thế hệ trong gia đình quan tâm, chăm sóc, giúp đỡ nhau nhằm giữ gìn và phát huy truyền thống tốt đẹp của gia đình Việt Nam; khuyến khích các cá nhân, tổ chức trong xã hội cùng tham gia vào việc giữ gìn, phát huy truyền thống tốt đẹp của gia đình Việt Nam. ",Các thành viên trong gia đình có nghĩa vụ gì khi sống chung?,"Các thành viên gia đình có quyền và nghĩa vụ chăm sóc, giúp đỡ và tôn trọng bản thân.","Khi sống chung, các thành viên gia đình có nghĩa vụ tham gia công việc gia đình, lao động tạo thu nhập; đóng góp công sức, tiền hoặc tài sản khác để duy trì đời sống chung của gia đình phù hợp với khả năng thực tế của mình.",2e530947
"1. Vợ, chồng có quyền chiếm hữu, sử dụng, định đoạt tài sản riêng của mình; nhập hoặc không nhập tài sản riêng vào tài sản chung. 2. Trong trường hợp vợ hoặc chồng không thể tự mình quản lý tài sản riêng và cũng không ủy quyền cho người khác quản lý thì bên kia có quyền quản lý tài sản đó. Việc quản lý tài sản phải bảo đảm lợi ích của người có tài sản. 3. Nghĩa vụ riêng về tài sản của mỗi người được thanh toán từ tài sản riêng của người đó. 4. Trong trường hợp vợ, chồng có tài sản riêng mà hoa lợi, lợi tức từ tài sản riêng đó là nguồn sống duy nhất của gia đình thì việc định đoạt tài sản này phải có sự đồng ý của chồng, vợ. ","Nếu một người không thể tự quản lý tài sản riêng của mình trong hôn nhân, ai có quyền quản lý tài sản đó?","Nếu một người không thể quản lý tài sản của mình trong hôn nhân, bên kia có quyền quản lý tài sản đó.",Trong trường hợp vợ hoặc chồng không thể tự mình quản lý tài sản riêng và cũng không ủy quyền cho người khác quản lý thì bên kia có quyền quản lý tài sản đó. Việc quản lý tài sản phải bảo đảm lợi ích của người có tài sản.,8ce1ad4f
"1. Ông bà nội, ông bà ngoại không sống chung với cháu có nghĩa vụ cấp dưỡng cho cháu trong trường hợp cháu chưa thành niên hoặc cháu đã thành niên không có khả năng lao động, không có tài sản để tự nuôi mình và không có người cấp dưỡng theo quy định tại Điều 112 của Luật này. 2. Cháu đã thành niên không sống chung với ông bà nội, ông bà ngoại có nghĩa vụ cấp dưỡng cho ông bà nội, ông bà ngoại trong trường hợp ông bà không có khả năng lao động, không có tài sản để tự nuôi mình và không có người khác cấp dưỡng theo quy định của Luật này. ","Ông bà nội, ông bà ngoại có nghĩa vụ cấp dưỡng cho cháu trong trường hợp nào?","Nghĩa vụ điều dưỡng giữa ông bà, ông bà và cháu.","Ông bà nội, ông bà ngoại không sống chung với cháu có nghĩa vụ cấp dưỡng cho cháu trong trường hợp cháu chưa thành niên hoặc cháu đã thành niên không có khả năng lao động, không có tài sản để tự nuôi mình và không có người cấp dưỡng theo quy định tại Điều 112 của Luật Hôn Nhân Và Gia Đình.",30000d3a
"Quyền, nghĩa vụ giữa nam, nữ chung sống với nhau như vợ chồng và con được giải quyết theo quy định của Luật này về quyền, nghĩa vụ của cha mẹ và con. ","Nếu nam và nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn, quyền và nghĩa vụ của họ đối với con cái được quy định như thế nào?",Quyền và nghĩa vụ của họ được giải quyết theo luật về quyền và nghĩa vụ của cha mẹ và trẻ em.,"Quyền, nghĩa vụ giữa nam, nữ chung sống với nhau như vợ chồng và con được giải quyết theo quy định của Luật Hôn Nhân Và Gia Đình về quyền, nghĩa vụ của cha mẹ và con.",ddb4c799
"1. Khi muốn chuyển hướng, người điều khiển phương tiện phải giảm tốc độ và có tín hiệu báo hướng rẽ. 2. Trong khi chuyển hướng, người lái xe, người điều khiển xe máy chuyên dùng phải nhường quyền đi trước cho người đi bộ, người đi xe đạp đang đi trên phần đường dành riêng cho họ, nhường đường cho các xe đi ngược chiều và chỉ cho xe chuyển hướng khi quan sát thấy không gây trở ngại hoặc nguy hiểm cho người và phương tiện khác. 3. Trong khu dân cư, người lái xe, người điều khiển xe máy chuyên dùng chỉ được quay đầu xe ở nơi đường giao nhau và nơi có biển báo cho phép quay đầu xe. 4. Không được quay đầu xe ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, gầm cầu vượt, ngầm, trong hầm đường bộ, đường cao tốc, tại nơi đường bộ giao nhau cùng mức với đường sắt, đường hẹp, đường dốc, đoạn đường cong tầm nhìn bị che khuất. ","Khi muốn chuyển hướng xe, người điều khiển phương tiện cần tuân thủ những quy định gì?","Quyền đối với người đi bộ trên xe phải được trao, nhường chỗ cho những chiếc xe đi theo hướng ngược lại và chỉ cho chiếc xe.","Khi muốn chuyển hướng, người điều khiển phương tiện phải giảm tốc độ và có tín hiệu báo hướng rẽ. Trong khi chuyển hướng, người lái xe phải nhường quyền đi trước cho người đi bộ, người đi xe đạp đang đi trên phần đường dành riêng cho họ, nhường đường cho các xe đi ngược chiều và chỉ cho xe chuyển hướng khi quan sát thấy không gây trở ngại hoặc nguy hiểm cho người và phương tiện khác.",4fde6f0d
"1. Cha, mẹ có nghĩa vụ và quyền ngang nhau, cùng nhau chăm sóc, nuôi dưỡng con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình. 2. Con có nghĩa vụ và quyền chăm sóc, nuôi dưỡng cha mẹ, đặc biệt khi cha mẹ mất năng lực hành vi dân sự, ốm đau, già yếu, khuyết tật; trường hợp gia đình có nhiều con thì các con phải cùng nhau chăm sóc, nuôi dưỡng cha mẹ. ","Cha mẹ có nghĩa vụ và quyền chăm sóc, nuôi dưỡng con như thế nào theo Luật Hôn Nhân Và Gia Đình?","Các nghĩa vụ và quyền chăm sóc và nuôi dưỡng con cái của họ bao gồm quyền chăm sóc và nuôi dưỡng cha mẹ, quyền chăm sóc và nuôi con, và quyền nuôi dưỡng con cái họ.","Theo Luật Hôn Nhân Và Gia Đình, cha mẹ có nghĩa vụ và quyền ngang nhau, cùng nhau chăm sóc, nuôi dưỡng con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",3df2d127
"1. Độ tuổi của người lái xe quy định như sau: a) Người đủ 16 tuổi trở lên được lái xe gắn máy có dung tích xi-lanh dưới 50 cm3; b) Người đủ 18 tuổi trở lên được lái xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi-lanh từ 50 cm3 trở lên và các loại xe có kết cấu tương tự; xe ô tô tải, máy kéo có trọng tải dưới 3.500 kg; xe ô tô chở người đến 9 chỗ ngồi; c) Người đủ 21 tuổi trở lên được lái xe ô tô tải, máy kéo có trọng tải từ 3.500 kg trở lên; lái xe hạng B2 kéo rơ moóc (FB2); d) Người đủ 24 tuổi trở lên được lái xe ô tô chở người từ 10 đến 30 chỗ ngồi; lái xe hạng C kéo rơ moóc, sơ mi rơ moóc (FC); đ) Người đủ 27 tuổi trở lên được lái xe ô tô chở người trên 30 chỗ ngồi; lái xe hạng D kéo rơ moóc (FD); e) Tuổi tối đa của người lái xe ô tô chở người trên 30 chỗ ngồi là 50 tuổi đối với nữ và 55 tuổi đối với nam. 2. Người lái xe phải có sức khỏe phù hợp với loại xe, công dụng của xe. Bộ trưởng Bộ Y tế chủ trì, phối hợp với Bộ trưởng Bộ Giao thông vận tải quy định về tiêu chuẩn sức khỏe của người lái xe, việc khám sức khỏe định kỳ đối với người lái xe ô tô và quy định về cơ sở y tế khám sức khoẻ của người lái xe. ","Tôi 18 tuổi, tôi có được lái xe ô tô chở người đến 9 chỗ ngồi không?","Vâng, bạn có thể lái một chiếc xe vận chuyển mọi người lên đến 9 chỗ.","Theo quy định của Luật Giao Thông Đường Bộ, người đủ 18 tuổi trở lên được lái xe ô tô chở người đến 9 chỗ ngồi. Do đó, bạn đủ tuổi để lái loại xe này.",913967dc
"1. Thỏa thuận về mang thai hộ vì mục đích nhân đạo giữa vợ chồng nhờ mang thai hộ (sau đây gọi là bên nhờ mang thai hộ) và vợ chồng người mang thai hộ (sau đây gọi là bên mang thai hộ) phải có các nội dung cơ bản sau đây: a) Thông tin đầy đủ về bên nhờ mang thai hộ và bên mang thai hộ theo các điều kiện có liên quan quy định tại Điều 95 của Luật này; b) Cam kết thực hiện các quyền, nghĩa vụ quy định tại Điều 97 và Điều 98 của Luật này; c) Việc giải quyết hậu quả trong trường hợp có tai biến sản khoa; hỗ trợ để bảo đảm sức khỏe sinh sản cho người mang thai hộ trong thời gian mang thai và sinh con, việc nhận con của bên nhờ mang thai hộ, quyền và nghĩa vụ của hai bên đối với con trong trường hợp con chưa được giao cho bên nhờ mang thai hộ và các quyền, nghĩa vụ khác có liên quan; d) Trách nhiệm dân sự trong trường hợp một hoặc cả hai bên vi phạm cam kết theo thỏa thuận. 2. Thỏa thuận về việc mang thai hộ phải được lập thành văn bản có công chứng. Trong trường hợp vợ chồng bên nhờ mang thai hộ ủy quyền cho nhau hoặc vợ chồng bên mang thai hộ ủy quyền cho nhau về việc thỏa thuận thì việc ủy quyền phải lập thành văn bản có công chứng. Việc ủy quyền cho người thứ ba không có giá trị pháp lý. Trong trường hợp thỏa thuận về mang thai hộ giữa bên mang thai hộ và bên nhờ mang thai hộ được lập cùng với thỏa thuận giữa họ với cơ sở y tế thực hiện việc sinh con bằng kỹ thuật hỗ trợ sinh sản thì thỏa thuận này phải có xác nhận của người có thẩm quyền của cơ sở y tế này. ",Thỏa thuận về mang thai hộ vì mục đích nhân đạo cần bao gồm những nội dung gì?,"Thỏa thuận thai sản thay thế nhân đạo quy định về khả năng chào đón người phụ nữ mang thai vì sự ra đời của đứa trẻ, đảm bảo sức khỏe sinh sản của trẻ và đảm bảo nghĩa vụ của hai bên.","Thỏa thuận về mang thai hộ vì mục đích nhân đạo cần bao gồm các nội dung cơ bản sau: thông tin đầy đủ về bên nhờ mang thai hộ và bên mang thai hộ, cam kết thực hiện các quyền và nghĩa vụ theo quy định, việc giải quyết hậu quả trong trường hợp có tai biến sản khoa, hỗ trợ bảo đảm sức khỏe sinh sản cho người mang thai hộ, việc nhận con của bên nhờ mang thai hộ, quyền và nghĩa vụ của hai bên đối với con, và trách nhiệm dân sự trong trường hợp vi phạm cam kết.",bd9fb543
