generated_question,generated_answer,doc_id,law_title
"Cha mẹ có nghĩa vụ và quyền chăm sóc, nuôi dưỡng con như thế nào theo Luật Hôn Nhân Và Gia Đình?","Theo Luật Hôn Nhân Và Gia Đình, cha mẹ có nghĩa vụ và quyền ngang nhau, cùng nhau chăm sóc, nuôi dưỡng con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",3df2d127,Luật Hôn Nhân Và Gia Đình
"Tôi 18 tuổi, tôi có được lái xe ô tô chở người đến 9 chỗ ngồi không?","Theo quy định của Luật Giao Thông Đường Bộ, người đủ 18 tuổi trở lên được lái xe ô tô chở người đến 9 chỗ ngồi. Do đó, bạn đủ tuổi để lái loại xe này.",913967dc,Luật Giao Thông Đường Bộ
Thỏa thuận về mang thai hộ vì mục đích nhân đạo cần bao gồm những nội dung gì?,"Thỏa thuận về mang thai hộ vì mục đích nhân đạo cần bao gồm các nội dung cơ bản sau: thông tin đầy đủ về bên nhờ mang thai hộ và bên mang thai hộ, cam kết thực hiện các quyền và nghĩa vụ theo quy định, việc giải quyết hậu quả trong trường hợp có tai biến sản khoa, hỗ trợ bảo đảm sức khỏe sinh sản cho người mang thai hộ, việc nhận con của bên nhờ mang thai hộ, quyền và nghĩa vụ của hai bên đối với con, và trách nhiệm dân sự trong trường hợp vi phạm cam kết.",bd9fb543,Luật Hôn Nhân Và Gia Đình
"Nếu một công dân Việt Nam kết hôn với người nước ngoài tại Việt Nam, họ cần tuân theo những quy định pháp luật nào?","Trong việc kết hôn giữa công dân Việt Nam với người nước ngoài, mỗi bên phải tuân theo pháp luật của nước mình về điều kiện kết hôn. Nếu việc kết hôn được tiến hành tại cơ quan nhà nước có thẩm quyền của Việt Nam, người nước ngoài còn phải tuân theo các quy định của Luật Hôn Nhân Và Gia Đình Việt Nam về điều kiện kết hôn.",3d54654f,Luật Hôn Nhân Và Gia Đình
Luật Hôn Nhân Và Gia Đình được thông qua vào thời gian nào và bởi cơ quan nào?,"Luật Hôn Nhân Và Gia Đình đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIII, kỳ họp thứ 7 thông qua ngày 19 tháng 6 năm 2014.",eff71113,Luật Hôn Nhân Và Gia Đình
Nội dung giáo dục mầm non cần đảm bảo những yêu cầu gì theo Luật Giáo Dục?,"Nội dung giáo dục mầm non phải bảo đảm phù hợp với sự phát triển tâm sinh lý của trẻ em; hài hòa giữa bảo vệ, chăm sóc, nuôi dưỡng với giáo dục trẻ em; phát triển toàn diện về thể chất, tình cảm, kỹ năng xã hội, trí tuệ, thẩm mỹ; tôn trọng sự khác biệt; phù hợp với các độ tuổi và liên thông với giáo dục tiểu học.",60d219bb,Luật Giáo Dục
"Khi nào quyền và nghĩa vụ của cha nuôi, mẹ nuôi với con nuôi chấm dứt?","Quyền và nghĩa vụ của cha nuôi, mẹ nuôi với con nuôi chấm dứt kể từ ngày quyết định của Tòa án về việc chấm dứt nuôi con nuôi có hiệu lực pháp luật.",094280f6,Luật Hôn Nhân Và Gia Đình
"Khi đến gần đường giao nhau không có báo hiệu đi theo vòng xuyến, tôi phải nhường đường như thế nào?","Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, bạn phải nhường đường cho xe đi đến từ bên phải.",2c8ddb11,Luật Giao Thông Đường Bộ
Mục tiêu của giáo dục đại học theo Luật Giáo Dục là gì?,"Mục tiêu của giáo dục đại học bao gồm đào tạo nhân lực trình độ cao, nâng cao dân trí, bồi dưỡng nhân tài; nghiên cứu khoa học và công nghệ tạo ra tri thức, sản phẩm mới phục vụ phát triển kinh tế - xã hội, bảo đảm quốc phòng, an ninh, hội nhập quốc tế. Đồng thời, giáo dục đại học hướng đến đào tạo người học phát triển toàn diện về đức, trí, thể, mỹ; có tri thức, kỹ năng, trách nhiệm nghề nghiệp; có khả năng nắm bắt tiến bộ khoa học và công nghệ, tự học, sáng tạo, thích nghi với môi trường làm việc; có tinh thần lập nghiệp và ý thức phục vụ Nhân dân.",00640fda,Luật Giáo Dục
Người mang thai hộ có được hưởng chế độ thai sản không và thời gian hưởng là bao lâu?,Người mang thai hộ được hưởng chế độ thai sản theo quy định của pháp luật về lao động và bảo hiểm xã hội cho đến thời điểm giao đứa trẻ cho bên nhờ mang thai hộ. Trong trường hợp kể từ ngày sinh đến thời điểm giao đứa trẻ mà thời gian hưởng chế độ thai sản chưa đủ 60 ngày thì người mang thai hộ vẫn được hưởng chế độ thai sản cho đến khi đủ 60 ngày.,36d186a0,Luật Hôn Nhân Và Gia Đình
Vợ chồng có thể thay đổi thỏa thuận về chế độ tài sản của mình không?,"Vợ chồng có quyền sửa đổi, bổ sung thỏa thuận về chế độ tài sản. Hình thức sửa đổi, bổ sung nội dung của thỏa thuận về chế độ tài sản được áp dụng theo quy định tại Điều 47 của Luật Hôn Nhân Và Gia Đình.",b33cdce7,Luật Hôn Nhân Và Gia Đình
Vợ hoặc chồng có phải chịu trách nhiệm về các nghĩa vụ tài sản riêng của mình không?,"Vợ, chồng có các nghĩa vụ riêng về tài sản sau đây: 1. Nghĩa vụ của mỗi bên vợ, chồng có trước khi kết hôn; 2. Nghĩa vụ phát sinh từ việc chiếm hữu, sử dụng, định đoạt tài sản riêng, trừ trường hợp nghĩa vụ phát sinh trong việc bảo quản, duy trì, tu sửa tài sản riêng của vợ, chồng theo quy định tại khoản 4 Điều 44 hoặc quy định tại khoản 4 Điều 37 của Luật này; 3. Nghĩa vụ phát sinh từ giao dịch do một bên xác lập, thực hiện không vì nhu cầu của gia đình; 4. Nghĩa vụ phát sinh từ hành vi vi phạm pháp luật của vợ, chồng.",6a1cc6bc,Luật Hôn Nhân Và Gia Đình
Giáo dục đại học tại Việt Nam đào tạo những trình độ nào?,"Giáo dục đại học đào tạo trình độ đại học, trình độ thạc sĩ, trình độ tiến sĩ.",e66c485e,Luật Giáo Dục
Trường giáo dưỡng có nhiệm vụ gì đối với người chưa thành niên vi phạm pháp luật?,"Trường giáo dưỡng có nhiệm vụ giáo dục người chưa thành niên vi phạm pháp luật để đối tượng này rèn luyện, phát triển lành mạnh, trở thành người lương thiện, có khả năng tái hòa nhập vào đời sống xã hội.",3308ef92,Luật Giáo Dục
Những đối tượng nào được coi là người học theo Luật Giáo Dục?,"Người học là người đang học tập tại cơ sở giáo dục trong hệ thống giáo dục quốc dân, bao gồm: trẻ em của cơ sở giáo dục mầm non; học sinh của cơ sở giáo dục phổ thông, lớp đào tạo nghề, trung tâm giáo dục nghề nghiệp - giáo dục thường xuyên, trung tâm giáo dục nghề nghiệp, trường trung cấp, trường dự bị đại học; sinh viên của trường cao đẳng, trường đại học; học viên của cơ sở đào tạo thạc sĩ; nghiên cứu sinh của cơ sở đào tạo tiến sĩ; và học viên theo học chương trình giáo dục thường xuyên.",d8d5b7a5,Luật Giáo Dục
"Khi vận chuyển động vật sống trên đường, người thuê vận tải cần tuân thủ những quy định gì?","Khi vận chuyển động vật sống trên đường, người thuê vận tải cần tuân thủ các quy định của pháp luật về vệ sinh, phòng dịch và bảo vệ môi trường. Ngoài ra, người thuê vận tải phải chịu trách nhiệm về việc xếp, dỡ động vật sống theo hướng dẫn của người kinh doanh vận tải. Nếu không thực hiện được, người thuê vận tải phải trả cước, phí xếp, dỡ cho người kinh doanh vận tải.",e287b488,Luật Giao Thông Đường Bộ
Trong trường hợp nào Tòa án sẽ giải quyết cho ly hôn theo yêu cầu của một bên?,"Tòa án sẽ giải quyết cho ly hôn nếu có căn cứ về việc vợ hoặc chồng có hành vi bạo lực gia đình hoặc vi phạm nghiêm trọng quyền, nghĩa vụ của vợ, chồng làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài, mục đích của hôn nhân không đạt được. Ngoài ra, trong trường hợp vợ hoặc chồng của người bị Tòa án tuyên bố mất tích yêu cầu ly hôn, Tòa án cũng sẽ giải quyết cho ly hôn.",63501459,Luật Hôn Nhân Và Gia Đình
Ngôn ngữ chính thức được sử dụng trong các cơ sở giáo dục ở Việt Nam là gì?,"Tiếng Việt là ngôn ngữ chính thức dùng trong cơ sở giáo dục. Tuy nhiên, căn cứ vào mục tiêu giáo dục và yêu cầu cụ thể về nội dung giáo dục, Chính phủ có thể quy định việc dạy và học bằng tiếng nước ngoài trong cơ sở giáo dục.",1095c99a,Luật Giáo Dục
Người kinh doanh vận tải hành khách có quyền từ chối vận chuyển hành khách trong trường hợp nào?,"Người kinh doanh vận tải hành khách có quyền từ chối vận chuyển trước khi phương tiện rời bến xe, rời vị trí đón, trả hành khách theo hợp đồng vận chuyển những người đã có vé hoặc người trong danh sách hợp đồng có hành vi gây rối trật tự công cộng, gây cản trở công việc của người kinh doanh vận tải, ảnh hưởng đến sức khoẻ, tài sản của người khác, gian lận vé hoặc hành khách đang bị dịch bệnh nguy hiểm.",fc2fbd8d,Luật Giao Thông Đường Bộ
"Khi ly hôn, nếu một bên gặp khó khăn tài chính, bên kia có nghĩa vụ cấp dưỡng không?","Khi ly hôn, nếu bên khó khăn, túng thiếu có yêu cầu cấp dưỡng và có lý do chính đáng, bên kia có nghĩa vụ cấp dưỡng theo khả năng của mình.",98aefc90,Luật Hôn Nhân Và Gia Đình
"Khi ly hôn, quyền và nghĩa vụ tài sản của vợ chồng đối với người thứ ba có còn hiệu lực không?","Quyền, nghĩa vụ tài sản của vợ chồng đối với người thứ ba vẫn có hiệu lực sau khi ly hôn, trừ trường hợp vợ chồng và người thứ ba có thỏa thuận khác.",c1d63340,Luật Hôn Nhân Và Gia Đình
Tôi cần làm gì khi gặp đèn tín hiệu màu đỏ và rào chắn đang đóng tại nơi đường bộ giao nhau cùng mức với đường sắt?,"Khi đèn tín hiệu màu đỏ đã bật sáng, có tiếng chuông báo hiệu, rào chắn đang dịch chuyển hoặc đã đóng, người tham gia giao thông đường bộ phải dừng lại phía phần đường của mình và cách rào chắn một khoảng cách an toàn. Khi đèn tín hiệu đã tắt, rào chắn mở hết, tiếng chuông báo hiệu ngừng, bạn mới được đi qua.",aafaff10,Luật Giao Thông Đường Bộ
"Khi một người vợ hoặc chồng chết, ai sẽ quản lý tài sản chung của vợ chồng?","Khi một bên vợ hoặc chồng chết hoặc bị Tòa án tuyên bố là đã chết, bên còn sống sẽ quản lý tài sản chung của vợ chồng, trừ trường hợp trong di chúc có chỉ định người khác quản lý di sản hoặc những người thừa kế thỏa thuận cử người khác quản lý di sản.",145c53b2,Luật Hôn Nhân Và Gia Đình
Ai là người chịu trách nhiệm tổ chức giao thông trên hệ thống quốc lộ theo Luật Giao Thông Đường Bộ?,Bộ trưởng Bộ Giao thông vận tải chịu trách nhiệm tổ chức giao thông trên hệ thống quốc lộ.,ca9492b0,Luật Giao Thông Đường Bộ
Trong trường hợp nào cha mẹ bị hạn chế quyền đối với con chưa thành niên theo Luật Hôn Nhân và Gia Đình?,"Cha, mẹ bị hạn chế quyền đối với con chưa thành niên trong các trường hợp sau: a) Bị kết án về một trong các tội xâm phạm tính mạng, sức khỏe, nhân phẩm, danh dự của con với lỗi cố ý hoặc có hành vi vi phạm nghiêm trọng nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con; b) Phá tán tài sản của con; c) Có lối sống đồi trụy; d) Xúi giục, ép buộc con làm những việc trái pháp luật, trái đạo đức xã hội.",f85a0fdc,Luật Hôn Nhân Và Gia Đình
"Nếu tôi muốn yêu cầu cấp dưỡng từ người thân đang sống ở nước ngoài, luật nào sẽ được áp dụng?",Nghĩa vụ cấp dưỡng tuân theo pháp luật của nước nơi người yêu cầu cấp dưỡng cư trú. Trường hợp người yêu cầu cấp dưỡng không có nơi cư trú tại Việt Nam thì áp dụng pháp luật của nước nơi người yêu cầu cấp dưỡng là công dân.,fddfb9a0,Luật Hôn Nhân Và Gia Đình
"Nếu vợ chồng sống chung với gia đình và ly hôn, nhưng không xác định được tài sản riêng của họ trong khối tài sản chung, thì việc chia tài sản sẽ được giải quyết như thế nào?","Trong trường hợp vợ chồng sống chung với gia đình mà ly hôn, nếu tài sản của vợ chồng trong khối tài sản chung của gia đình không xác định được, vợ hoặc chồng được chia một phần trong khối tài sản chung của gia đình căn cứ vào công sức đóng góp của họ vào việc tạo lập, duy trì, phát triển khối tài sản chung cũng như vào đời sống chung của gia đình. Việc chia tài sản do vợ chồng thỏa thuận với gia đình; nếu không thỏa thuận được thì yêu cầu Tòa án giải quyết.",2067f1b4,Luật Hôn Nhân Và Gia Đình
Vợ chồng có nghĩa vụ gì khi tài sản chung không đủ để đáp ứng nhu cầu thiết yếu của gia đình?,"Trong trường hợp vợ chồng không có tài sản chung hoặc tài sản chung không đủ để đáp ứng nhu cầu thiết yếu của gia đình, vợ chồng có nghĩa vụ đóng góp tài sản riêng theo khả năng kinh tế của mỗi bên.",b4d84fed,Luật Hôn Nhân Và Gia Đình
Giáo dục thường xuyên có nhiệm vụ gì đối với người dân?,"Giáo dục thường xuyên có nhiệm vụ thực hiện xóa mù chữ cho người trong độ tuổi theo quy định của pháp luật, đào tạo, bồi dưỡng nâng cao năng lực làm việc, cập nhật, bổ sung kiến thức, kỹ năng cần thiết trong cuộc sống cho mọi người, và tạo cơ hội cho người có nhu cầu học tập nâng cao trình độ học vấn.",c8eab58e,Luật Giáo Dục
Kinh doanh vận tải hành khách bằng xe ô tô bao gồm những loại hình nào?,"Kinh doanh vận tải hành khách bằng xe ô tô bao gồm: kinh doanh vận tải hành khách theo tuyến cố định, kinh doanh vận tải hành khách bằng xe buýt theo tuyến cố định, kinh doanh vận tải hành khách bằng xe taxi, kinh doanh vận tải hành khách theo hợp đồng không theo tuyến cố định, và kinh doanh vận tải khách du lịch theo tuyến, chương trình và địa điểm du lịch.",e3ef6bec,Luật Giao Thông Đường Bộ
Nhà đầu tư trong lĩnh vực giáo dục bao gồm những đối tượng nào?,"Nhà đầu tư trong lĩnh vực giáo dục bao gồm: a) Nhà đầu tư trong nước là cá nhân có quốc tịch Việt Nam, tổ chức được thành lập theo pháp luật Việt Nam; b) Nhà đầu tư nước ngoài là cá nhân có quốc tịch nước ngoài, tổ chức thành lập theo pháp luật nước ngoài.",95354c8a,Luật Giáo Dục
Trẻ em tại cơ sở giáo dục mầm non có những quyền gì theo Luật Giáo Dục?,"Trẻ em tại cơ sở giáo dục mầm non có các quyền sau: được chăm sóc, nuôi dưỡng, giáo dục theo chương trình giáo dục mầm non do Bộ trưởng Bộ Giáo dục và Đào tạo ban hành; được chăm sóc sức khỏe và bảo vệ theo quy định của Luật Trẻ em và các quy định khác của pháp luật có liên quan; được miễn, giảm giá vé đối với các dịch vụ vui chơi, giải trí công cộng.",8aed8c41,Luật Giáo Dục
Ai là người chịu trách nhiệm phê duyệt sách giáo khoa để sử dụng trong các cơ sở giáo dục phổ thông?,Bộ trưởng Bộ Giáo dục và Đào tạo chịu trách nhiệm về sách giáo khoa giáo dục phổ thông và phê duyệt sách giáo khoa để sử dụng trong cơ sở giáo dục phổ thông sau khi được Hội đồng quốc gia thẩm định sách giáo khoa thẩm định.,f93b7fdb,Luật Giáo Dục
Nhà nước có chính sách ưu tiên đầu tư cho giáo dục ở những khu vực nào?,"Nhà nước ưu tiên đầu tư cho phổ cập giáo dục, phát triển giáo dục ở miền núi, hải đảo, vùng đồng bào dân tộc thiểu số, vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn, địa bàn có khu công nghiệp.",73d171d2,Luật Giáo Dục
"Nếu vợ hoặc chồng đứng tên tài khoản ngân hàng hoặc tài khoản chứng khoán, họ có quyền thực hiện giao dịch liên quan đến tài sản đó không?","Theo Luật Hôn Nhân Và Gia Đình, trong giao dịch với người thứ ba ngay tình, vợ hoặc chồng là người đứng tên tài khoản ngân hàng, tài khoản chứng khoán được coi là người có quyền xác lập, thực hiện giao dịch liên quan đến tài sản đó.",f57e49dc,Luật Hôn Nhân Và Gia Đình
Ai có quyền yêu cầu Tòa án hủy việc kết hôn trái pháp luật?,"Theo Luật Hôn Nhân Và Gia Đình, người bị cưỡng ép kết hôn, bị lừa dối kết hôn có quyền tự mình yêu cầu hoặc đề nghị cá nhân, tổ chức như vợ, chồng, cha, mẹ, con, người giám hộ, cơ quan quản lý nhà nước về gia đình, cơ quan quản lý nhà nước về trẻ em, Hội liên hiệp phụ nữ yêu cầu Tòa án hủy việc kết hôn trái pháp luật.",6acc6cf8,Luật Hôn Nhân Và Gia Đình
"Nếu vợ hoặc chồng muốn đưa tài sản chung vào kinh doanh, họ cần làm gì để đảm bảo hợp pháp?","Trong trường hợp vợ chồng có thỏa thuận về việc một bên đưa tài sản chung vào kinh doanh, thỏa thuận này phải được lập thành văn bản. Người được thỏa thuận có quyền tự mình thực hiện giao dịch liên quan đến tài sản chung đó.",547a5091,Luật Hôn Nhân Và Gia Đình
"Khi hai xe đi ngược chiều trên đường không phân chia thành hai chiều xe chạy riêng biệt, tôi cần làm gì để tránh nhau?","Khi hai xe đi ngược chiều trên đường không phân chia thành hai chiều xe chạy riêng biệt, người điều khiển phải giảm tốc độ và cho xe đi về bên phải theo chiều xe chạy của mình.",0ed53793,Luật Giao Thông Đường Bộ
Nhà nước có những chính sách gì để bảo vệ hôn nhân và gia đình?,"Nhà nước có chính sách, biện pháp bảo hộ hôn nhân và gia đình, tạo điều kiện để nam, nữ xác lập hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng; xây dựng gia đình ấm no, tiến bộ, hạnh phúc và thực hiện đầy đủ chức năng của mình. Nhà nước cũng tăng cường tuyên truyền, phổ biến, giáo dục pháp luật về hôn nhân và gia đình, vận động nhân dân xóa bỏ phong tục, tập quán lạc hậu và phát huy truyền thống, phong tục, tập quán tốt đẹp thể hiện bản sắc của mỗi dân tộc.",673a834b,Luật Hôn Nhân Và Gia Đình
"Trong trường hợp nào thì anh, chị có nghĩa vụ cấp dưỡng cho em mình theo Luật Hôn Nhân và Gia Đình?","Theo Luật Hôn Nhân và Gia Đình, anh, chị đã thành niên không sống chung với em có nghĩa vụ cấp dưỡng cho em chưa thành niên không có tài sản để tự nuôi mình hoặc em đã thành niên không có khả năng lao động và không có tài sản để tự nuôi mình trong trường hợp không còn cha mẹ hoặc cha mẹ không có khả năng lao động và không có tài sản để cấp dưỡng cho con.",a114ebfe,Luật Hôn Nhân Và Gia Đình
"Trường hợp nào cần phải đến Tòa án để xác định cha, mẹ, con có yếu tố nước ngoài?","Tòa án có thẩm quyền của Việt Nam giải quyết việc xác định cha, mẹ, con có yếu tố nước ngoài đối với các trường hợp quy định tại khoản 2 Điều 88, Điều 89, Điều 90, khoản 1, khoản 5 Điều 97, khoản 3, khoản 5 Điều 98 và Điều 99 của Luật Hôn Nhân Và Gia Đình; các trường hợp khác có tranh chấp.",3136fc57,Luật Hôn Nhân Và Gia Đình
Cha mẹ có phải bồi thường thiệt hại do con cái gây ra không?,"Theo Luật Hôn Nhân Và Gia Đình, cha mẹ phải bồi thường thiệt hại do con chưa thành niên hoặc con đã thành niên nhưng mất năng lực hành vi dân sự gây ra, theo quy định của Bộ luật dân sự.",227bb762,Luật Hôn Nhân Và Gia Đình
"Học sinh, sinh viên có được hưởng chế độ miễn, giảm giá vé khi sử dụng dịch vụ công cộng không?","Học sinh, sinh viên được hưởng chế độ miễn, giảm giá vé khi sử dụng các dịch vụ công cộng về giao thông, giải trí, tham quan viện bảo tàng, di tích lịch sử, công trình văn hóa theo quy định của Chính phủ.",c5813216,Luật Giáo Dục
Trường hợp nào nhà trường có thể bị đình chỉ hoạt động giáo dục?,Nhà trường có thể bị đình chỉ hoạt động giáo dục trong các trường hợp sau: 1) Có hành vi gian lận để được cho phép hoạt động giáo dục; 2) Không bảo đảm một trong các điều kiện quy định tại khoản 2 Điều 49 của Luật Giáo Dục; 3) Người cho phép hoạt động giáo dục không đúng thẩm quyền; 4) Không triển khai hoạt động giáo dục trong thời hạn quy định kể từ ngày được phép hoạt động giáo dục; 5) Vi phạm quy định của pháp luật về giáo dục bị xử phạt vi phạm hành chính ở mức độ phải đình chỉ; 6) Trường hợp khác theo quy định của pháp luật.,4751dc48,Luật Giáo Dục
